patient_key,heatmap_mse,heatmap_mae,heatmap_soft_dice,heatmap_corr,target_mask_pixels,pred_mask_fixed_pixels,dice_fixed_thresh,iou_fixed_thresh,dice_topk_same_area,iou_topk_same_area
S_33,0.09396781027317047,0.3016890287399292,0.04230833426117897,-0.25155650285808745,3080,0,3.2467532467427057e-12,3.2467532467427057e-12,0.12886680557921323,0.06887099537593135
S_34,0.09726912528276443,0.3082868456840515,0.040112294256687164,-0.01962975258630769,2408,0,4.152823920248535e-12,4.152823920248535e-12,0.3057456959151509,0.18046033300886274
S_35,0.09199515730142593,0.29764533042907715,0.052521735429763794,-0.2668320367822516,3862,0,2.5893319523495877e-12,2.5893319523495877e-12,0.08297899755304346,0.04328538782222976
S_36,0.1007767915725708,0.3139200210571289,0.03672715276479721,-0.2836016522986685,2491,0,4.014452027282158e-12,4.014452027282158e-12,0.13541042540616055,0.07262210797113834
S_37,0.09913086891174316,0.3101974129676819,0.048009779304265976,-0.32822306156646974,3692,0,2.7085590465798794e-12,2.7085590465798794e-12,0.10220359605366743,0.05385382533259175
S_38,0.09482550621032715,0.30226701498031616,0.0557977631688118,-0.25377908488758544,4074,0,2.454590083450038e-12,2.454590083450038e-12,0.020527859238733473,0.010370370371592134
S_39,0.09328215569257736,0.3004773259162903,0.03553856536746025,-0.3327374582254599,3052,0,3.2765399737769445e-12,3.2765399737769445e-12,0.014218775247997707,0.0071602929226897314
S_40,0.1026974767446518,0.3161945343017578,0.042585913091897964,-0.4788578221117102,3078,0,3.24886289797515e-12,3.24886289797515e-12,0.02433167920758071,0.012315670071281289
S_41,0.09030690789222717,0.29587522149086,0.04747292771935463,-0.1425006008672548,3444,0,2.9036004645676435e-12,2.9036004645676435e-12,0.036694596938693015,0.018690213393644312
S_42,0.09863284230232239,0.31107309460639954,0.02886180393397808,-0.1771300559854307,1938,0,5.159958720303613e-12,5.159958720303613e-12,0.13486005089278663,0.07230559345410012
S_43,0.09306085109710693,0.299957275390625,0.043286796659231186,-0.3085817645924528,3238,0,3.0883261272294987e-12,3.0883261272294987e-12,0.05954198473426024,0.03068450039491631
S_44,0.09596982598304749,0.306134432554245,0.03996836021542549,-0.25608170499962923,3107,0,3.218538783381981e-12,3.218538783381981e-12,0.05775709931163524,0.02973732033862591
S_45,0.0974421352148056,0.3080003559589386,0.03987759351730347,-0.23698311871478547,2632,0,3.799392097250003e-12,3.799392097250003e-12,0.12217795484894294,0.0650636492239542
S_46,0.08639916032552719,0.2895943224430084,0.04311848804354668,-0.2220582517886207,3242,0,3.0845157310207143e-12,3.0845157310207143e-12,0.02854950115268066,0.014481469948591588
S_47,0.09431958943605423,0.3036183714866638,0.03941807895898819,-0.07748217942246693,2964,0,3.373819163281465e-12,3.373819163281465e-12,0.19296177807847623,0.10678345136208203
S_48,0.09152889251708984,0.29700613021850586,0.04872508347034454,-0.2788914570346407,4048,0,2.4703557312191937e-12,2.4703557312191937e-12,0.0801380840844777,0.041741587465910945
S_49,0.09924918413162231,0.3121293783187866,0.03055957332253456,-0.118061489543092,2170,0,4.60829493085434e-12,4.60829493085434e-12,0.24723756906250635,0.1410559495688441
S_50,0.09366665035486221,0.30166614055633545,0.04223785549402237,-0.13297255476027298,2979,0,3.3568311513818167e-12,3.3568311513818167e-12,0.08743351063981478,0.04571527898653622
S_51,0.09777650237083435,0.30917423963546753,0.0350830964744091,-0.1420164113792383,2450,0,4.081632653044565e-12,4.081632653044565e-12,0.1677551020425148,0.09155713967678424
S_52,0.0874144658446312,0.2910217344760895,0.05270138755440712,-0.04203158022862968,3527,0,2.8352707683503394e-12,2.8352707683503394e-12,0.09721048182713833,0.05108840515467039
S_53,0.09331092238426208,0.3005862236022949,0.04841354116797447,-0.34815662140575926,3850,0,2.597402597395851e-12,2.597402597395851e-12,0.02799015161458081,0.01419371796686267
S_54,0.0937182605266571,0.30286529660224915,0.03571673110127449,-0.13929594733074208,2626,0,3.808073114989307e-12,3.808073114989307e-12,0.08754716981304236,0.04577742699477945
